action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,305155,[],CHEMBL651292,In vitro inhibitory activity against Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60,B,,,BAO_0000190,BAO_0000019,assay format,O=c1c2ccc(S(=O)(=O)c3ccc4c(=O)n5c6ccccc6nc5c5cccc3c45)c3cccc(c32)c2nc3ccccc3n12,,,CHEMBL1134645,J Med Chem,2001,"{'bei': '8.05', 'le': '0.15', 'lle': '-1.48', 'sei': '4.72'}",CHEMBL337153,,CHEMBL337153,4.85,0,http://www.openphacts.org/units/Nanomolar,262350,=,1,1,=,,IC50,nM,,14000.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,14.0
,Not Active,306440,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,CN1C(=O)c2ccc3c4ccc5c(=O)n6c7ccccc7nc6c6ccc(c7ccc(c2c37)C1=O)c4c56,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL137528,,CHEMBL137528,,0,http://www.openphacts.org/units/Nanomolar,262333,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,,307747,[],CHEMBL651292,In vitro inhibitory activity against Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60,B,,,BAO_0000190,BAO_0000019,assay format,Brc1cccc[n+]1-c1ccc2cc(-[n+]3ccccc3Br)ccc2c1,,,CHEMBL1134645,J Med Chem,2001,"{'bei': '11.15', 'le': '0.28', 'lle': '0.01', 'sei': '63.55'}",CHEMBL340270,,CHEMBL340270,4.93,0,http://www.openphacts.org/units/Nanomolar,262316,=,1,1,=,,IC50,nM,,11700.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,11.7
,Not Active,307748,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,Cc1cc(-c2ccccc2)[nH]c2nc3ccccc3[n+]1-2,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL137543,,CHEMBL137543,,0,http://www.openphacts.org/units/Nanomolar,262323,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,309225,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,O=C1c2ccc[n+]3c2-c2c1ccc[n+]2CC3,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL337147,,CHEMBL337147,,0,http://www.openphacts.org/units/Nanomolar,262329,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,,310418,[],CHEMBL651292,In vitro inhibitory activity against Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60,B,,,BAO_0000190,BAO_0000019,assay format,Nc1nc(-c2ccccc2)nc2c1[n+]([O-])c1ccccc1[n+]2[O-],,,CHEMBL1134645,J Med Chem,2001,"{'bei': '18.98', 'le': '0.34', 'lle': '4.50', 'sei': '5.48'}",CHEMBL443221,,CHEMBL443221,5.80,0,http://www.openphacts.org/units/Nanomolar,262314,=,1,1,=,,IC50,nM,,1600.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,1.6
,Not Active,310419,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,CS1(C)=NC(=O)C2=C(N=1)c1ccccc1S2(=O)=O,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL343734,,CHEMBL343734,,0,http://www.openphacts.org/units/Nanomolar,262324,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,314458,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,Cc1cc2c(cc1C)[n+]([O-])c(-c1nc3ccccc3s1)c(N)[n+]2[O-],,,CHEMBL1134645,J Med Chem,2001,,CHEMBL136866,,CHEMBL136866,,0,http://www.openphacts.org/units/Nanomolar,262331,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,316813,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CSc1nc2ccccc2s1)c1sc2sc3ccccc3[n+]2c1O,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL137246,,CHEMBL137246,,0,http://www.openphacts.org/units/Nanomolar,262327,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,,320523,[],CHEMBL651291,In vitro inhibitory activity against Bak-Bh3 peptide binding to the Bcl-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1c2cc(Br)ccc2-c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)c1cc(Br)ccc1-5,,,CHEMBL1134645,J Med Chem,2001,"{'bei': '8.32', 'le': '0.18', 'lle': '-4.57', 'sei': '14.98'}",CHEMBL135934,,CHEMBL135934,5.11,0,http://www.openphacts.org/units/Nanomolar,262312,=,1,1,=,,IC50,nM,,7700.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,7.7
,Not Active,320524,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,CN(C)CCNCCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL137215,,CHEMBL137215,,0,http://www.openphacts.org/units/Nanomolar,262348,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,324313,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc2c(c1)c[n+](C)c1c3cc(OC)c(OC)cc3ccc21,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL335782,,CHEMBL335782,,0,http://www.openphacts.org/units/Nanomolar,262322,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
