molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL340270,inactive,4.931814138253838,Brc1cccc[n+]1-c1ccc2cc(-[n+]3ccccc3Br)ccc2c1,442.15400000000005,4.918200000000002,0.0,0.0
CHEMBL6063904,active,7.6777807052660805,C#CC1CCN(C2CC=C(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1c1ccccc1C1CC1,841.003,8.730300000000003,3.0,10.0
CHEMBL5182395,active,7.187086643357144,C#CCCOC(=O)Nc1ccc(C2=NN(C(=O)c3ccc(Br)cc3)C(c3ccccc3)C2)cc1,516.3950000000002,6.012400000000005,1.0,4.0
CHEMBL5820135,active,8.346787486224656,C#Cc1ccc(OC(=O)N2CCc3cc(-c4cc(C(=O)N(C)c5ccc(O)cc5)c(C)n4C)c(C(=O)N4Cc5ccccc5C[C@H]4CN4CCOCC4)cc3C2)cc1,777.9219999999997,6.420420000000006,1.0,7.0
CHEMBL5843645,active,7.045757490560675,C#Cc1cccc(C2CCCN2C2CC=C(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)c1,800.9379999999999,7.974900000000008,3.0,10.0
CHEMBL2398292,inactive,5.0,C/C(=N\Nc1nc2ccccc2s1)c1ccc(-c2cccc(C(=O)O)c2)o1,377.4250000000001,5.090600000000003,2.0,6.0
CHEMBL2398170,inactive,5.0,C/C(=N\Nc1nc2ccccc2s1)c1ccc(-c2cccc(C(=O)O)n2)s1,394.4810000000001,4.954100000000002,2.0,7.0
CHEMBL2398286,inactive,5.0,C/C(=N\Nc1nc2ccccc2s1)c1cccc(-c2cccc(C(=O)O)n2)c1,388.4520000000001,4.892600000000003,2.0,6.0
CHEMBL5875766,active,7.552841968657781,C=C(C)c1ccccc1C1CCCN1C1CC=C(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)CC1,816.9809999999997,9.026700000000002,3.0,10.0
CHEMBL5995096,active,7.721246399047171,C=C(C)c1ccccc1C1CCCN1C1CCC(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)CC1,818.9969999999997,9.117000000000003,3.0,10.0
CHEMBL5989018,active,10.259637310505756,C=C(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,888.1039999999995,9.354400000000002,4.0,11.0
CHEMBL6026974,active,7.638272163982407,C=C1CC(c2ccccc2C2CC2)N(C2CC=C(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,828.9919999999997,9.037100000000002,3.0,10.0
CHEMBL5831285,active,8.481486060122112,C=C1CC(c2ccccc2C2CC2)N(c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)C1,824.9599999999998,9.272600000000002,3.0,10.0
CHEMBL5613766,inactive,4.522878745280337,C=CC(=O)N(c1ccc(O[C@@H]2CC[C@@H](N)C2)cc1)[C@@H](C)c1ccc(C(F)(F)F)c(C#N)c1,443.4690000000001,5.115880000000004,1.0,4.0
CHEMBL5187331,active,7.497572880015567,C=CCOC(=O)Nc1ccc(C2=NN(C(=O)c3ccc(Br)cc3)C(c3ccccc3)C2)cc1,504.3840000000001,6.175100000000005,1.0,4.0
CHEMBL5876206,active,7.552841968657781,C=Cc1cccc(C2CCCN2C2CC=C(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)c1,802.9539999999998,8.636600000000003,3.0,10.0
CHEMBL5830005,active,7.920818753952375,C=Cc1ccccc1C1CCCN1C1CC=C(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)CC1,802.9539999999997,8.636600000000003,3.0,10.0
CHEMBL5937625,active,8.886056647693163,CC(=O)N(C)CCN1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,955.1509999999997,8.886800000000004,3.0,12.0
CHEMBL5775598,active,8.337242168318426,CC(=O)N(C)c1ccc(OC(=O)N2CCc3cc(-c4cc(C(=O)N(C)c5ccc(O)cc5)c(C)n4C)c(C(=O)N4Cc5ccccc5C[C@H]4CN4CCOCC4)cc3C2)cc1,824.9789999999996,6.421820000000007,1.0,8.0
CHEMBL6064593,active,7.4089353929735005,CC(=O)N1CC=C(c2ccccc2C2CCCN2C2CC=C(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)CC1,900.0709999999995,8.629200000000004,3.0,11.0
CHEMBL5878897,active,9.167491087293763,CC(=O)N1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,896.0389999999995,8.864700000000003,3.0,11.0
CHEMBL6002443,active,8.920818753952375,CC(=O)N1CCC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(-c4ccc(N5CCC[C@@H]5c5ccccc5C5CC5)cc4)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,854.002,8.938400000000003,3.0,10.0
CHEMBL5873270,active,8.522878745280337,CC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,898.0549999999996,8.955000000000004,3.0,11.0
CHEMBL5890230,active,8.958607314841775,CC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,926.1089999999996,9.469600000000002,4.0,11.0
CHEMBL6016585,active,8.0,CC(=O)N1CCOC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(C4=CCC(N5CCCC5c5ccccc5C5CC5)CC4)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])C1,860.0059999999999,7.691700000000009,3.0,11.0
CHEMBL5970546,active,7.376750709602099,CC(=O)N1Cc2cc(C(=O)N3Cc4ccccc4C[C@H]3C)c(-c3cc(C(=O)N(C)c4ccc(O)cc4)c(C)n3C)cc2C1,576.6970000000001,5.431820000000006,1.0,4.0
CHEMBL510332,active,6.136677139879544,CC(=O)NC[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(C(=O)N(c2ccccc2)c2ccccc2)cc1C,583.6920000000001,5.8624200000000055,1.0,4.0
CHEMBL5758769,active,8.494850021680094,CC(=O)Nc1ccc(OC(=O)N2CCc3cc(-c4cc(C(=O)N(C)c5ccc(O)cc5)c5n4CCCC5)c(C(=O)N4Cc5ccccc5C[C@H]4C)cc3C2)cc1,751.8839999999999,7.576100000000008,2.0,6.0
CHEMBL5753100,active,6.686132779630847,CC(=O)Oc1ccc(N(C(=O)c2cn(-c3cc4c(cc3C(=O)N3Cc5ccccc5C[C@H]3CN3CCN(C)CC3)OCO4)c3ccccc23)c2ccc(C)cc2)cc1,775.9060000000002,7.3859200000000085,0.0,8.0
CHEMBL379173,inactive,4.301029995663981,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,577.5280000000001,4.3312000000000035,3.0,5.0
CHEMBL5965696,active,7.0,CC(C)(C)OC(=O)N1CCC(c2ccccc2C2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,956.1349999999996,10.343599999999997,3.0,12.0
CHEMBL5188416,active,6.581698708680254,CC(C)(C)OC(=O)Nc1ccc(C2=NN(C(=O)c3ccc(Br)cc3)C(c3ccccc3)C2)cc1,520.4270000000001,6.787600000000006,1.0,4.0
CHEMBL5170955,active,6.510041520575165,CC(C)(C)OC(=O)Nc1ccc(C2=NN(C(=O)c3ccc(Br)cc3)C(c3ccccc3)C2)cn1,521.4150000000001,6.182600000000005,1.0,5.0
CHEMBL5205655,active,6.429457060118103,CC(C)(C)OC(=O)Nc1ccc(C2=NN(C(=O)c3ccc(Br)cc3)C(c3ccccc3)C2)nc1,521.4150000000002,6.182600000000005,1.0,5.0
CHEMBL5193713,active,6.764471553092451,CC(C)(C)OC(=O)Nc1ccc(C2=NN(C(=O)c3ccc(Br)cc3)C(c3ccccc3)C2c2ccccc2)cc1,596.5250000000002,8.181300000000006,1.0,4.0
CHEMBL5196601,active,6.187086643357144,CC(C)(C)OC(=O)Nc1ccc(C2=NN(C(=O)c3ccc(Br)cc3)C(c3ccccn3)C2)cc1,521.4150000000002,6.182600000000005,1.0,5.0
CHEMBL5179160,active,6.357535479757878,CC(C)(C)OC(=O)Nc1ccc(C2=NN(C(=O)c3ccc([N+](=O)[O-])cc3)C(c3ccccc3)C2)cc1,486.5280000000002,5.933300000000005,1.0,6.0
CHEMBL5180902,inactive,4.838631997765025,CC(C)(C)OC(=O)Nc1ccc(C2=NN(C(=O)c3cccnc3)C(c3ccccc3)C2)cc1,442.5190000000001,5.420100000000005,1.0,5.0
CHEMBL5188723,inactive,4.956244873031321,CC(C)(C)OC(=O)Nc1cccc(C2=NN(C(=O)c3ccc(Br)cc3)C(c3ccccc3)C2)c1,520.4270000000001,6.787600000000006,1.0,4.0
CHEMBL5859755,active,7.366531544420414,CC(C)(C)OC(=O)c1ccc(-c2ccc(N3CCCC3c3ccccc3)cc2)cc1Oc1cnc2[nH]ccc2c1,531.6560000000002,8.319000000000004,1.0,5.0
CHEMBL6025905,active,7.267606240177032,CC(C)(C)OC(=O)c1ccc(-c2ccc(N3CCCC3c3ccccc3)nc2)cc1Oc1cnc2[nH]ccc2c1,532.6440000000001,7.714000000000007,1.0,6.0
CHEMBL6010922,active,7.522878745280337,CC(C)(C)OC(=O)c1cccc(CN(C(=O)c2cc(-c3cc4c(cc3C(=O)N3Cc5ccccc5C[C@H]3CN3CCOCC3)OCO4)n3c2CCCC3)c2ccc(O)cc2)c1,824.9749999999997,7.627300000000011,1.0,9.0
CHEMBL3703623,active,8.397940008672037,CC(C)(C)OP(=O)(O)OCO[C@@H](c1ccccc1-c1ccc(Cl)cc1)C1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@H](CCN4CCOCC4)CSc4ccccc4)c(S(=O)(=O)C(F)(F)F)c3)cc2)CC1,1123.672,10.578199999999994,3.0,14.0
CHEMBL5753141,active,6.071092309756048,CC(C)(C)[Si](C)(C)OC1CCC(COc2ccc(S(=O)(=O)NC(=O)c3ccc(C4=CCC(N5CCC[C@@H]5c5ccccc5C5CC5)CC4)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,946.2559999999995,11.991899999999987,2.0,10.0
CHEMBL5960804,active,6.0,CC(C)(C)[Si](C)(C)OC1CCC(COc2ccc(S(=O)(=O)NC(=O)c3ccc(C4=CCC(N5CCC[C@H]5c5ccccc5C5CC5)CC4)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,946.2559999999995,11.991899999999987,2.0,10.0
CHEMBL5517916,active,7.700057099977233,CC(C)(C)c1ccccc1C1CCCN1c1ccc(-c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)cc1,828.9919999999997,9.5266,3.0,10.0
CHEMBL5775670,active,8.920818753952375,CC(C)(N)C(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,969.1779999999997,9.187000000000003,5.0,12.0
CHEMBL6034288,active,7.0,CC(C)(c1ccc(-c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)cc1)N1CCCC1c1ccccc1C1CC1,855.0299999999997,9.837199999999998,3.0,10.0
CHEMBL6006703,active,7.443697499232712,CC(C)(c1ccccc1C1CC1)C1CCCN1c1ccc(-c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)cc1,855.0299999999996,9.711599999999999,3.0,10.0
CHEMBL555017,active,6.85078088734462,CC(C)=CCC[C@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@]12C(=C[C@@H]4C[C@H]1C(C)(C)O[C@@]2(C/C=C(/C)C(=O)O)C4=O)C3=O,628.7620000000004,7.239300000000007,2.0,7.0
CHEMBL5779029,active,7.2441251443275085,CC(C)=Cc1ccccc1C1CCCN1C1CC=C(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)CC1,831.0079999999996,9.4168,3.0,10.0
CHEMBL4847514,active,8.619788758288394,CC(C)C(=O)N1CCC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(C(F)(F)F)cc6)CC(C)(C)CC5)CC4)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,971.1159999999998,9.493300000000001,3.0,11.0
CHEMBL5906194,active,7.266802734893431,CC(C)CC1Oc2cc(C(=O)N3Cc4ccccc4C[C@H]3CN)c(-n3cc(C(=O)N(c4ccccc4)c4ccc(O)cc4)c4ccccc43)cc2O1,692.8160000000003,7.983800000000009,2.0,6.0
